carryminati,amirsiddiqui
0.0,0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.13636363636363635
0.35,0.13636363636363635
0.35,0.225
0.35,0.25
0.35,0.13636363636363635
0.35,0.0
0.35,0.5
0.35,0.13636363636363635
0.35,0.5
0.35,0.0
0.35,0.0
0.35,0.0
0.35,0.13636363636363635
